curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2015/2016,2015,ENSENYAMENTS D'IDIOMES,GREC - NIVELL AVANÇAT,2,4,2,2,0,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,GREC - NIVELL BÀSIC,1,49,28,21,2,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,GREC - NIVELL BÀSIC,2,38,20,18,1,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,GREC - NIVELL INTERMEDI,1,28,17,11,2,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,GREC - NIVELL INTERMEDI,2,23,14,9,1,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ITALIÀ - NIVELL AVANÇAT,1,161,107,54,8,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ITALIÀ - NIVELL AVANÇAT,2,196,132,64,8,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ITALIÀ - NIVELL BÀSIC,1,448,299,149,19,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ITALIÀ - NIVELL BÀSIC,2,307,219,88,15,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ITALIÀ - NIVELL INTERMEDI,1,273,191,82,10,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,JAPONÈS - NIVELL AVANÇAT,1,21,9,12,1,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,JAPONÈS - NIVELL AVANÇAT,2,16,6,10,0,1
